,Olympiad,City,City_count,Country,Iso,Country_count,Continent,Continent_count,Notabene
1896,I,athens,1,greece,gr,1,europe,1,
1900,II,paris,1,france,fr,1,europe,2,
1904,III,saint louis,1,united states,us,1,north america,1,
1908,IV,london,1,united kingdom,gb,1,europe,3,
1912,V,stockholm,1,sweden,se,1,europe,4,
1916,VI,berlin,,germany,de,,europe,,the 1916 olympics were canceled due to world war i
1920,VII,antwerp,1,belgium,be,1,europe,5,
1924,VIII,paris,2,france,fr,2,europe,6,
1928,IX,amsterdam,1,the netherlands,,1,europe,7,
1932,X,los angeles,1,united states,us,2,north america,2,
1936,XI,berlin,1,germany,de,1,europe,8,
1940,XII,helsinki,,finland,fi,,europe,,the 1940 and 1944 summer olympics were canceled due to world war ii.
1944,XIII,london,,united kingdom,gb,,europe,,the 1940 and 1944 summer olympics were canceled due to world war ii.
1948,XIV,london,2,united kingdom,gb,2,europe,9,
1952,XV,helsinki,1,finland,fi,1,europe,10,
1956,XVI,melbourne,1,australia,au,1,oceania,1,
1960,XVII,rome,1,italy,it,1,europe,11,
1964,XVIII,tokyo,1,japan,jp,1,asia,1,
1968,XIX,mexico,1,mexico,mx,1,north america,3,
1972,XX,munich,1,west germany,,2,europe,12,
1976,XXI,montreal,1,canada,ca,1,north america,4,
1980,XXII,moscow,1,soviet union,,1,europe,13,
1984,XXIII,los angeles,2,united states,us,3,north america,5,
1988,XXIV,seoul,1,south korea,kr,1,asia,2,
1992,XXV,barcelona,1,spain,es,1,europe,14,
1996,XXVI,atlanta,1,united states,us,4,north america,6,
2000,XXVII,sydney,1,australia,au,2,oceania,2,
2004,XXVIII,athens,3,greece,gr,3,europe,15,
2008,XXIX,beijing,1,china,cn,1,asia,3,
2012,XXX,london,3,united kingdom,gb,3,europe,16,
2016,XXXI,rio de janeiro,1,brazil,br,1,south america,1,
2021,XXXII[NB,tokyo,2,japan,jp,2,asia,4,"the 2020 summer olympics have been postponed to 2021, following the covid-19 pandemic."
2024,XXXIII,paris,3,france,fr,3,europe,17,
2028,XXXIV,los angeles,3,united states,us,5,north america,7,
2032,XXXV,brisbane,1,australia,au,3,oceania,3,
2036,XXXVI,location to be determined,,,,,,,
