,Olympiad,City,City_count,Country,Iso,Country_count,Continent,Continent_count,Notabene
1924,I,chamonix,1,france,fr,1,europe,1,
1928,II,st. moritz,1,swiss,,1,europe,2,
1932,III,lake placid,1,united states,us,1,north america,1,
1936,IV,garmisch-partenkirchen,1,germany,de,1,europe,3,
1940,V,sapporo,,japan,jp,,asia,,the 1940 and 1944 winter olympics were canceled due to world war ii.
1944,V,cortina d'ampezzo,,italy,it,,europe,,the 1940 and 1944 winter olympics were canceled due to world war ii.
1948,V,st. moritz,2,swiss,,2,europe,4,
1952,VI,oslo,1,norway,no,1,europe,5,
1956,VII,cortina d'ampezzo,1,italy,it,1,europe,6,
1960,VIII,squaw valley,1,united states,us,2,north america,2,
1964,IX,innsbruck,1,austria,at,1,europe,7,
1968,X,grenoble,1,france,fr,2,europe,8,
1972,XI,sapporo,1,japan,jp,1,asia,1,
1976,XII,innsbruck,2,austria,at,2,europe,9,
1980,XIII,lake placid,2,united states,us,3,north america,3,
1984,XIV,sarajevo,1,yugoslavia,,1,europe,10,
1988,XV,calgary,1,canada,ca,1,north america,4,
1992,XVI,albertville,1,france,fr,3,europe,11,
1994,XVII,lillehammer,1,norway,no,2,europe,12,
1998,XVIII,nagano,1,japan,jp,2,asia,2,
2002,XIX,salt lake city,1,united states,us,4,north america,5,
2006,XX,turin,1,italy,it,2,europe,13,
2010,XXI,vancouver,1,canada,ca,2,north america,6,
2014,XXII,sochi,1,russia,ru,1,europe,14,
2018,XXIII,pyeongchang,1,south korea,kr,1,asia,3,
2022,XXIV,beijing,1,china,cn,1,asia,4,
2026,XXV,milan - cortina d'ampezzo,1,italy,it,3,europe,15,
2030,XXVI,french alps,,,,,,,
