Name,Nationality,Time
Jonty Skinner,South Africa,23.86
Joe Bottom,United States,23.74
Ron Manganiello,United States,23.72
Klaus Steinbach,West Germany,23.70
Chris Cavanaugh,United States,23.66
Chris Cavanaugh,United States,23.12
Rowdy Gaines,United States,22.96
Bruce Stahl,United States,22.83
Joe Bottom,United States,22.83
Joe Bottom,United States,22.71
Robin Leamy,United States,22.54
Dano Halsall,Switzerland,22.52
Tom Jager,United States,22.40
Matt Biondi,United States,22.33
Matt Biondi,United States,22.33
Tom Jager,United States,22.32
Tom Jager,United States,22.23
Peter Williams,South Africa,22.18
Matt Biondi,United States,22.14
Tom Jager,United States,22.12
Tom Jager,United States,21.98
Tom Jager,United States,21.81
Alexander Popov,Russia,21.64
Eamon Sullivan,Australia,21.56
Alain Bernard,France,21.50
Eamon Sullivan,Australia,21.41
Eamon Sullivan,Australia,21.28
Frédérick Bousquet,France,20.94
César Cielo,Brazil,20.91
