meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
Brazilian National Championships (50m),20.91,18/12/2009,Men 50 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,10/01/1987,,,1,1,,Sao Paulo,BRA
French National Championships (50m),20.94,26/04/2009,Men 50 Freestyle LCM Male,FRA,France,"BOUSQUET, Frederick",M,08/04/1981,,,2,2,,Montpellier,FRA
US Olympic Team Trials - Wave II,21.04,20/06/2021,Men 50 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,3,3,981,Omaha,USA
18th FINA World Championships 2019,21.04,27/07/2019,Men 50 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,3,4,981,Gwangju,KOR
World Aquatics Championships - Fukuoka 2023,21.06,29/07/2023,Men 50 Freestyle LCM Male,AUS,Australia,"MCEVOY, Cameron",M,13/05/1994,,,5,5,978,Fukuoka,JPN
Olympic Games Tokyo 2020,21.07,01/08/2021,Men 50 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,6,6,977,Tokyo,JPN
13th FINA World Championships 2009,21.08,01/08/2009,Men 50 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,10/01/1987,,,7,7,,Rome,ITA
European Championships 2018,21.11,08/08/2018,Men 50 Freestyle LCM Male,GBR,Great Britain,"PROUD, Benjamin",M,21/09/1994,,,8,8,971,Glasgow,GBR
World Aquatics Championships - Doha 2024,21.13,16/02/2024,Men 50 Freestyle LCM Male,AUS,Australia,"MCEVOY, Cameron",M,13/05/1994,,,9,9,969,Doha,QAT
17th FINA World Championships 2017,21.15,29/07/2017,Men 50 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,10,10,966,Budapest,HUN
55th International Trophy Sette Colli,21.16,29/06/2018,Men 50 Freestyle LCM Male,GBR,Great Britain,"PROUD, Benjamin",M,21/09/1994,,,11,11,964,Rome,ITA
18th FINA World Championships 2019,21.18,26/07/2019,Men 50 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,12,12,962,Gwangju,KOR
16th FINA World Championships 2015,21.19,08/08/2015,Men 50 Freestyle LCM Male,FRA,France,"MANAUDOU, Florent",M,12/11/1990,,,13,13,960,Kazan,RUS
AIS International,21.19,26/11/2009,Men 50 Freestyle LCM Male,AUS,Australia,"CALLUS, Ashley",M,10/03/1979,,,13,14,,Canberra,AUS
13th FINA World Championships 2009,21.20,31/07/2009,Men 50 Freestyle LCM Male,TTO,Trinidad and Tobago,"BOVELL, George",M,18/07/1983,,,15,15,,Rome,ITA
13th FINA World Championships 2009,21.21,01/08/2009,Men 50 Freestyle LCM Male,FRA,France,"BOUSQUET, Frederick",M,08/04/1981,,,16,16,,Rome,ITA
13th FINA World Championships 2009,21.21,31/07/2009,Men 50 Freestyle LCM Male,FRA,France,"BOUSQUET, Frederick",M,08/04/1981,,,16,17,,Rome,ITA
World Aquatics Championships - Doha 2024,21.23,16/02/2024,Men 50 Freestyle LCM Male,AUS,Australia,"MCEVOY, Cameron",M,13/05/1994,,,18,18,955,Doha,QAT
British National Championships (50m),21.25,06/04/2024,Men 50 Freestyle LCM Male,GBR,Great Britain,"PROUD, Benjamin",M,21/09/1994,,,19,19,952,London,GBR
World Aquatics Championships - Fukuoka 2023,21.25,28/07/2023,Men 50 Freestyle LCM Male,AUS,Australia,"MCEVOY, Cameron",M,13/05/1994,,,19,20,952,Fukuoka,JPN
13th FINA World Championships 2009,21.25,01/08/2009,Men 50 Freestyle LCM Male,FRA,France,"LEVEAUX, Amaury",M,02/12/1985,,,19,21,,Rome,ITA
Australian Swimming Trials,21.27,18/06/2023,Men 50 Freestyle LCM Male,AUS,Australia,"MCEVOY, Cameron",M,13/05/1994,,,22,22,950,Melbourne,AUS
FINA Swimming World Cup 2019,21.27,15/08/2019,Men 50 Freestyle LCM Male,RUS,Russian Federation,"MOROZOV, Vladimir",M,16/06/1992,,,22,23,950,Singapore,SGP
17th FINA World Championships 2017,21.27,29/07/2017,Men 50 Freestyle LCM Male,BRA,Brazil,"FRATUS, Bruno",M,30/06/1989,,,22,24,950,Budapest,HUN
Australian National Championships (50m),21.28,28/03/2008,Men 50 Freestyle LCM Male,AUS,Australia,"SULLIVAN, Eamon",M,30/08/1985,,,25,25,1029,Sydney,AUS
Phillips 66 International Team Trials 2022,21.29,30/04/2022,Men 50 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,26,26,947,Greensboro,USA
US Olympic Team Trials - Wave II,21.29,19/06/2021,Men 50 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,26,27,947,Omaha,USA
17th FINA World Championships 2017,21.29,28/07/2017,Men 50 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,26,28,947,Budapest,HUN
13th FINA World Championships 2009,21.29,31/07/2009,Men 50 Freestyle LCM Male,CRO,Croatia,"DRAGANJA, Duje",M,27/02/1983,,,26,29,,Rome,ITA
21st Commonwealth Games 2018,21.30,09/04/2018,Men 50 Freestyle LCM Male,GBR,Great Britain,"PROUD, Benjamin",M,21/09/1994,,,30,30,946,Gold Coast,AUS
Olympic Games Beijing 2008,21.30,16/08/2008,Men 50 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,10/01/1987,,,30,31,1026,Beijing,CHN
Mare Nostrum - 37th Meeting International de Natation de Monte Carlo 2019,21.31,09/06/2019,Men 50 Freestyle LCM Male,BRA,Brazil,"FRATUS, Bruno",M,30/06/1989,,,32,32,944,Monaco,MON
19th FINA World Championships Budapest 2022,21.32,24/06/2022,Men 50 Freestyle LCM Male,GBR,Great Britain,"PROUD, Benjamin",M,21/09/1994,,,33,33,943,Budapest,HUN
Olympic Games Tokyo 2020,21.32,30/07/2021,Men 50 Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,33,34,943,Tokyo,JPN
British National Championships (50m),21.32,22/04/2017,Men 50 Freestyle LCM Male,GBR,Great Britain,"PROUD, Benjamin",M,21/09/1994,,,33,35,943,Sheffield,GBR
Olympic Games Rio 2016,21.32,11/08/2016,Men 50 Freestyle LCM Male,FRA,France,"MANAUDOU, Florent",M,12/11/1990,,,33,36,943,Rio de Janeiro,BRA
European Championships 2014,21.32,24/08/2014,Men 50 Freestyle LCM Male,FRA,France,"MANAUDOU, Florent",M,12/11/1990,,,33,37,943,Berlin,GER
15th FINA World Championships 2013,21.32,03/08/2013,Men 50 Freestyle LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,10/01/1987,,,33,38,943,Barcelona,ESP
